Label,Temps écoulé,Puissance moyenne,Cadence moyenne,Couple moyen,FC moyenne,FC max,Gradient moyen,Intensité,Zone,ID du groupe,Heure de début,Heure de fin,Facteur d'efficacité,Charge d'entraînement,Moyenne w/kg,HR% moyen,% maximum de FC,Watts normalisés,Intensity Normalized,Vitesse moyenne
,139,233,77,30,,,0.5%,85%,3,124s@228w78rpm,0:00:00,0:02:19,,2.42,3.52,,,222,0.82,42.5
,117,213,75,27,,,-0.2%,78%,3,124s@228w78rpm,0:02:19,0:04:16,,2.72,3.22,,,248,0.92,45.7
,121,218,75,27,,,0%,80%,3,124s@228w78rpm,0:04:16,0:06:17,,2.61,3.29,,,239,0.88,45.5
,122,255,85,27,,,-0.1%,94%,4,124s@228w78rpm,0:06:17,0:08:19,,2.95,3.85,,,253,0.93,44.8
,119,295,86,32,,,-0.2%,108%,5,119s@295w86rpm,0:08:19,0:10:18,,4.46,4.46,,,315,1.16,45.2
,119,258,79,30,,,0%,95%,4,124s@228w78rpm,0:10:18,0:12:17,,5.26,3.9,,,342,1.26,45.9
,117,239,77,29,,,-0.1%,88%,3,124s@228w78rpm,0:12:17,0:14:14,,2.83,3.61,,,253,0.93,46.5
,131,193,76,23,,,0%,71%,2,124s@228w78rpm,0:14:14,0:16:25,,1.88,2.91,,,195,0.72,42
,121,241,78,28,,,-0.2%,88%,3,124s@228w78rpm,0:16:25,0:18:26,,3.04,3.64,,,258,0.95,45
,119,255,86,28,,,0%,94%,4,124s@228w78rpm,0:18:26,0:20:25,,4.55,3.85,,,318,1.17,45.8
,133,180,81,21,,,0%,66%,2,124s@228w78rpm,0:20:25,0:22:38,,2.09,2.72,,,204,0.75,40.6
,121,241,79,28,,,0%,88%,3,124s@228w78rpm,0:22:38,0:24:39,,3.02,3.64,,,257,0.95,45.8
,126,216,73,27,,,-0.2%,79%,3,124s@228w78rpm,0:24:39,0:26:45,,2.22,3.26,,,216,0.80,43.1
,120,247,81,28,,,0%,91%,4,124s@228w78rpm,0:26:45,0:28:45,,3.35,3.73,,,272,1.00,45.4
,128,265,77,31,,,0%,97%,4,124s@228w78rpm,0:28:45,0:30:53,,4.15,4,,,293,1.08,43
,128,189,75,22,,,-0.1%,69%,2,124s@228w78rpm,0:30:53,0:33:01,,2.71,2.85,,,237,0.87,42.2
,117,225,79,25,,,-0.1%,83%,3,124s@228w78rpm,0:33:01,0:34:58,,3.37,3.4,,,276,1.02,46.4
,124,203,76,25,,,-0.1%,74%,2,124s@228w78rpm,0:34:58,0:37:02,,2.04,3.07,,,209,0.77,44
,108,352,87,40,,,-0.1%,129%,6,108s@352w87rpm,0:37:02,0:38:50,,5.89,5.32,,,380,1.40,51.3
